City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Torbay,CA,2022-02-01 16:53:41,47.6666,-52.7314,27.39,54,40,21.85
97,Sabya,SA,2022-02-01 16:53:41,17.1495,42.6254,82.02,66,2,7.0
98,Barrow,US,2022-02-01 16:50:59,71.2906,-156.7887,-16.58,69,75,0.0
99,Nacala,MZ,2022-02-01 16:53:42,-14.5428,40.6728,78.1,81,28,8.21
100,Butaritari,KI,2022-02-01 16:53:43,3.0707,172.7902,81.28,77,98,12.66
101,Vaini,TO,2022-02-01 16:53:43,-21.2,-175.2,75.36,94,20,3.44
102,Zhigansk,RU,2022-02-01 16:53:44,66.7697,123.3711,-28.88,99,94,8.16
103,Clyde River,CA,2022-02-01 16:53:45,70.4692,-68.5914,-23.57,69,20,5.75
104,Coquimbo,CL,2022-02-01 16:53:46,-29.9533,-71.3436,65.93,72,100,8.05
105,Polaniec,PL,2022-02-01 16:53:46,50.4332,21.2812,35.91,86,93,1.01
106,Mar Del Plata,AR,2022-02-01 16:53:47,-38.0023,-57.5575,79.88,49,0,25.01
107,Tuktoyaktuk,CA,2022-02-01 16:53:48,69.4541,-133.0374,-23.8,76,0,2.3
108,Camara De Lobos,PT,2022-02-01 16:53:49,32.6333,-16.9667,75.13,72,20,10.36
109,Norman Wells,CA,2022-02-01 16:51:08,65.282,-126.8329,-16.56,69,75,2.3
110,Vardo,NO,2022-02-01 16:53:50,70.3705,31.1107,19.15,86,0,11.5
111,Point Fortin,TT,2022-02-01 16:53:51,10.1833,-61.6833,86.86,68,36,7.11
