City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
143,Cockburn Town,21.4612,-71.1419,80.56,44,20,14.97,TC,2022-02-06 18:51:16,few clouds
144,Baruun-Urt,46.6806,113.2792,-0.67,88,10,6.55,MN,2022-02-06 18:48:24,clear sky
145,Broome,42.2506,-75.833,29.62,63,0,3.0,US,2022-02-06 18:51:16,clear sky
146,Evensk,61.95,159.2333,1.26,67,0,9.06,RU,2022-02-06 18:51:17,clear sky
147,Saint-Philippe,-21.3585,55.7679,78.39,80,99,15.5,RE,2022-02-06 18:51:17,overcast clouds
148,Asekeyevo,53.5742,52.7972,10.45,98,100,2.06,RU,2022-02-06 18:51:17,overcast clouds
149,Punta Arenas,-53.15,-70.9167,69.91,49,75,16.11,CL,2022-02-06 18:51:18,broken clouds
150,Vardo,70.3705,31.1107,23.2,78,74,21.72,NO,2022-02-06 18:51:18,broken clouds
151,Bahia Blanca,-38.7196,-62.2724,70.92,51,6,11.52,AR,2022-02-06 18:50:07,clear sky
152,Svetlaya,46.5389,138.3297,7.38,71,99,7.78,RU,2022-02-06 18:51:18,overcast clouds
